,Document/Program/Project Title,Document/Project Date,Action,Document Lead Authors/Project Contact,FP&M Department,Academic/Research/UW Divisions 1,Academic/Research/UW Divisions 2,Academic/Research/UW Divisions 3,Student Organization 1,Student Organization 2,Student Organization 3,Number of Student Participants/yr/class,Total Students Participants,Document Name (if applicable),Document Type,Partnership Type,
,“Willow Creek Restoration Project”,Fall 2012,"FP&M staff and class in Urban and Regional Planning developed a report and provided recommendations for improvements to Willow Creek; including how to expand infiltration up in the urban watershed; reduce sediment disposition in Lake Mendota; and redirect the creek to a more natural\, meandering flow pattern.","Gary Brown (FPM)\, Prof. Jim LaGro
URPL",FP&M Campus Planning and Landscape Architecture,Urban and Regional Planning,,,,,,9,9,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,UW-Madison Campus Master Plan Update,Future,CPLA staff working with students in the LA planting design courses to develop site inventories on campus and providing recommendations for landscape themes.,"Gary Brown (FPM)\, Prof. John Harrington
Dept. of Landscape Architecture",FP&M Campus Planning and Landscape Architecture,Landscape Architecture,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,UW-Madison Campus Master Plan Update,Future,CPLA staff working with students to review BMP's for stormwater management and the development of innovative green infrastructure projects.,"Gary Brown (FPM)\, Prof. Jim LaGro\, URPL.
Prof. John Harrington
Dept. of Landscape Architecture.
Prof. Ken Potter
Dept. of Civil/Environmental Engineering.",FP&M Campus Planning and Landscape Architecture,Urban and Regional Planning,Landscape Architecture,Civil and Environmental Engineering,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,"Art 224\, 324\, 524: Anagama Kiln/Wood Fire Technology",2001,,"Bryn Scriver (FPM)\, Breckenridge\, Bruce/Art",FP&M Campus Planning and Landscape Architecture,Art ,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Vocalization in chickadees,2001,,"Bryn Scriver (FPM)\, Clemmons\, Jackie/Zoology",FP&M Campus Planning and Landscape Architecture,,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Anthro 352: Ancient Technology and Invention/Manufacture of Ancient Tools and Pottery ,2001,,"Bryn Scriver (FPM)\, Kenoyer\, Jonathan/Anthropology",FP&M Campus Planning and Landscape Architecture,Anthropology,Lakeshore Nature Preserve,,,,,25,25,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Burial/excavation of carcasses ,2001,,"Bryn Scriver (FPM)\, Kirsch\, John; McEntee\, Holly/Zoo Museum",FP&M Campus Planning and Landscape Architecture,Zoology,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Bird Population Changes with prairie restoration,2001,,"Bryn Scriver (FPM)\, McDonald\, Mara",FP&M Campus Planning and Landscape Architecture,,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Botany 130: Campus Field Trips ,2003,,"Bryn Scriver (FPM)\, Clayton\, Mike/Botany",FP&M Campus Planning and Landscape Architecture,Botany,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Bill's Woods Project,2003,,"Bryn Scriver (FPM)\, Denniston\, Glenda; Trewartha\, Mary/Friends of the Preserve ",FP&M Campus Planning and Landscape Architecture,,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
