,Document/Program/Project Title,Document/Project Date,Action,Document Lead Authors/Project Contact,FP&M Department,Academic/Research/UW Divisions 1,Academic/Research/UW Divisions 2,Academic/Research/UW Divisions 3,Student Organization 1,Student Organization 2,Student Organization 3,Number of Student Participants/yr/class,Total Students Participants,Document Name (if applicable),Document Type,Partnership Type,
,Soil Chemistry Analysis of the Historic Tent Colony at the UW,2014,,"Bryn Scriver (FPM)\, Lawrence\, Joanna/Molecular Archeology Group",FP&M Campus Planning and Landscape Architecture,Archeology,Lakeshore Nature Preserve,,,,,13,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Basidiomycetes of Lakeshore Nature Preserve,2014,,"Bryn Scriver (FPM)\, Nakasone\, Karen; Ortiz-Santana\, Beatrice/Center for Forest Mycology Research\, U.S. Forest Service\, U.S.D.A.",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,1-6,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Orienteering,2014,,"Bryn Scriver (FPM)\, Nelson\, Garrett/Geography",FP&M Campus Planning and Landscape Architecture,Geography,Lakeshore Nature Preserve,,,,,12,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Biocore Prairie Bluebird Trail,2014,,"Bryn Scriver (FPM)\, Noeldner\, Paul/Friends of the Preserve ",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,Lespedeza leptostachya: A pilot study of factors contributing to its rarity,2014,,"Bryn Scriver (FPM)\, Santino\, Ian/Landscape Architecture",FP&M Campus Planning and Landscape Architecture,Landscape Architecture,Lakeshore Nature Preserve,,,,,2,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Geocache ,2014,,"Bryn Scriver (FPM)\, Schaefer\, HollyGirl Scout Troop",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,Butternut scion collection,2014,,"Bryn Scriver (FPM)\, Stanocz\, Glen/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,2,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,"Consequences of a newly arrived non-native earthworm for forest\, prairie and agricultural soils",2014,,"Bryn Scriver (FPM)\, Turner\, Monica/Qui\, Jiangxiao/Zoology",FP&M Campus Planning and Landscape Architecture,Zoology,Lakeshore Nature Preserve,,,,,3,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Class activities-trail camera observations; soils/envr studies 575,2014,,"Bryn Scriver (FPM)\, Ventura\, Steve/Soil Science",FP&M Campus Planning and Landscape Architecture,Soil Science,Lakeshore Nature Preserve,,,,,6,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,IES 375: Field Ecology Workshop/Survey of woods above picnic point marsh,2014,,"Bryn Scriver (FPM)\, Carpenter\, Quentin/Nelson Institute ",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,20,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Army ROTC Badger Blitz 5K Obstacle Run ,2014,,"Bryn Scriver (FPM)\, Jensen\, Amy/Army ROTC",FP&M Campus Planning and Landscape Architecture,Military Science (Army ROTC),Lakeshore Nature Preserve,,,,,200,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,IES 600: Capstone/Woody invasive plant control in Eagle Heights Woods,2014,,"Bryn Scriver (FPM)\, Nelson Institute",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,9,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,WI 4-H & Youth Conference/Seminar on invasive plants,2014,,"Bryn Scriver (FPM)\, Nordin\, Peter/ WI 4-H UW Extension",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,30,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,Engage Children in Science,2014,,"Bryn Scriver (FPM)\, Ledin\, Dolly/Institute for Biology Education",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,35,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,"Anthro 120: (FIG) Landscapes: Biological\, Cultural\, and Physical Dimensions ",2014,,"Bryn Scriver (FPM)\, Schroeder\, Sissel/Anthropology",FP&M Campus Planning and Landscape Architecture,Anthropology,Lakeshore Nature Preserve,,,,,6,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Project Baseline: A Seedbank to Study Plant Evolution,2014,,"Bryn Scriver (FPM)\, Soper Gorden\, Nicole/Jahnke\, Matthew/University of Minnesota Duluth\, Department of Biology",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,3,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Soil profile study at Soil Pits in Bill's Woods,2014,,"Bryn Scriver (FPM)\, Urrutia\, Mattilde/Soil Science",FP&M Campus Planning and Landscape Architecture,Soil Science,Lakeshore Nature Preserve,,,,,82,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Germination rates based on seeding time of early spring-blooming prairie forbs,2014,,"Bryn Scriver (FPM)\, Evelyn Howell/Van Cleve\, Madeline/Landscape Architecture",FP&M Campus Planning and Landscape Architecture,Landscape Architecture,Lakeshore Nature Preserve,,,,,1,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,LABash 2014 Tour of Preserve cultural and natural resources,Spring 2014,,"Bryn Scriver\, Daniel Einstein (FPM)\, LABash/Landscape Architecture",FP&M Campus Planning and Landscape Architecture,Landscape Architecture,Lakeshore Nature Preserve,,,,,40,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,GreenHouse residential learning community/Restoration Ecology Seminars ,"Spring 2011\, Fall 2011\, Spring 2012\, Spring 2014",,"Adam Gundlach\, Stephen Thomforde (FPM)\, Housing ",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,UW Housing,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,LA 666: Restoration Ecology,On-going,,"Bryn Scriver (FPM)\, Howell\, Evelyn; Harrington\, John/Landscape Architecture",FP&M Campus Planning and Landscape Architecture,Landscape Architecture,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,GreenHouse residential learning community,On-going,,"Bryn Scriver (FPM)\, Kloppenberg\, Jack; Turnquist; Alan/Housing",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,UW Housing,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,Food web small mammal projects,On-going,,"Bryn Scriver (FPM)\, Orrock\, John/Zoology",FP&M Campus Planning and Landscape Architecture,Zoology,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Horticulture 120: Service Learning ,On-going,,"Bryn Scriver (FPM)\, Patterson\, Sara/Horticulture",FP&M Campus Planning and Landscape Architecture,Horticulture,Lakeshore Nature Preserve,,,,,15,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,"Hydrology\, stormwater analysis and plans",On-going,,"Bryn Scriver (FPM)\, Potter\, Kenneth/Civil and Environmental Engineering",FP&M Campus Planning and Landscape Architecture,Civil and Environmental Engineering,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Campus Design Assistant - Interns,Every Year,"CPLA intern program has been running for more than 50 years.  Each year CPLA has two or three interns for 10 hours a week during the school year and 40 hours a week during winter and summer breaks.  These interns assist in all aspects of CPLA's work and learn many landscape architecture skills.  They become proficient in AutoCAD\, site measuring\, base map generation\, site analysis.  They also gain general work/life skills such as what it takes to complete a project\, how an office runs\, communication skills\, time management\, responsibility\, leadership and  team work.  ",Rhonda James & Jonathan Bronk,FP&M Campus Planning and Landscape Architecture,,,,,,,3,100,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FS,
,Agricultural Hall-East Courtyard Design/Build Competition,Fall 2004  ,"The WIASLA Student Chapter conducted a design/build competition for the east courtyard of Ag Hall.  6 teams\, composed of a member from each academic  year in the program and a professional.  Designs were reviewed by a jury and CPLA.  A final design was created and installed by students and volunteers.",Rebecca Marquardt,FP&M Campus Planning and Landscape Architecture,,,,WIASLA - Amer. Society for Landscape Architecture,,,25,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FS,
,Student Class Project Basemaps ,"2007-Present (Fall\, Spring\, Summer Semesters","CPLA provided base map materials for various landscape architecture classes.  On average we provide approximately one project base map per semester (Fall\, Spring\, Summer)\, but will vary year to year.",Rhonda James & Jonathan Bronk,FP&M Campus Planning and Landscape Architecture,Landscape Architecture,,,,,,20,140,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Class Project Jury Member- Landscape Architecture Planting Design,Fall 2007,CPLA director served as jury member for planting  design project where students learned how to create planting plans using standards and techniques of the profession.,Prof. John Harrington-LA,FP&M Campus Planning and Landscape Architecture,Landscape Architecture,,,,,,20,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Agricultural Hall West Courtyard ,Spring 2009,Student group conducted charrettes for the design of the Ag Hall West Courtyard.  CPLA provided guidance and base material information.,0,FP&M Campus Planning and Landscape Architecture,,,,WIASLA - Amer. Society for Landscape Architecture,,,20,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Agricultural Hall Landscape Project ,Fall 2009,CPLA provided guidance to students creating a landscape design for the area around Agricultural Hall.  Reviewed designs  and provided feedback as part of project jury.  Reviewed plans with CPLA and UW Grounds to begin design process for new landscape plan south of Ag Hall. ,Prof. John Harrington-LA,FP&M Campus Planning and Landscape Architecture,,,,,,,20,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Art Academic Building and Site Study,Fall 2009 ,"A collaborative project between the UW Department of Landscape Architecture\, UW Civil and Environmental Engineering\, and UW-Milwaukee School of Architecture.  Students explored opportunities for a new building and the site surrounding it based on feedback form the Art Department and FP&M.",Prof. James Steiner-LA,FP&M Campus Planning and Landscape Architecture,,,,,,,35,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Horse Barn Building and Site Studies,"Fall 2009\, Spring 2010 ","A collaborative project between the UW Department of Landscape Architecture\, UW Civil and Environmental Engineering\, and UW-Milwaukee School of Architecture.   Students worked together to create designs that would repurpose the Horse Barn and the site around it. Exploring sustainable practices and design was a major component.   CPLA provided guidance and resources to students.   Reviewed designs  and provided feedback as part of project jury. ",Prof. John Harrington-LA;  Prof. James Steiner-LA; Charlie Quagliana-CEE; Milwaukee Architecture Students ,FP&M Campus Planning and Landscape Architecture,Landscape Architecture,"Architecture\, UW Milwaukee",Civil and Environmental Engineering,,,,35,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Landscape Architecture Graphics Class ,Spring 2010 ,CPLA director served as jury member for graphic design project where students learned how to properly communicate their designs visually using standards and techniques of the profession.,Prof. James Steiner-LA,FP&M Campus Planning and Landscape Architecture,,,,,,,20,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Landscape Architecture Senior Capstone Project ,Fall 2010 ,"CPLA staff served as mentor for senior capstone project. Capstone focus was to analysis and inventory the area around Lathrop Drive\, Charter Street and University Avenue to create green corridors where users of the space could improve their metal health and wellbeing.  Provided base materials and guidance as  project progressed.  ",,FP&M Campus Planning and Landscape Architecture,,,,,,,1,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,College of Engineering - Engineering Career Academy,Summer 2010-present,Each summer the College of Engineering runs two - one week camps for middle and high school students from under served situations. CPLA present them a real-life project that they work on during the week at the end of the week staff attends the presentation of their solutions and provides feedback.,,FP&M Campus Planning and Landscape Architecture,,,,,,,250,1000,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Arboretum Pond 2 Wetland Swales ,2011-2012,"The BSE and Ecology Graduate Students studied various scenarios of vegetation\, hydrology\, and sediment loads all related to stormwater  runoff.  The CPLA office facilitated the modification of the weirs so they could do the appropriate monitoring.  Staff also attended the end of the semester poster session to see the results and ask questions of the students.","Prof. Joy Zedle-Botany\, Prof. Anita  Thompson-BSE; Prof. John Panuska-BSE",FP&M Campus Planning and Landscape Architecture,Botany,Biological Systems Engineering,,,,,8,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,UW Madison - People Program ,"summer 2011\, 2012 & 2013",High school students come to visit UW Campus and investigate a major they are interested in.  When they come for Landscape Architecture they spend part of the week with the Landscape Architecture Department and a couple half days with  CPLA.  We show them around campus focusing on design and give them a small design project to work on.  Then we talk through their project and about how the  landscape architecture process works.,,FP&M Campus Planning and Landscape Architecture,,,,,,,5,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,F,
,East Lakeshore Path Erosion Mitigation,Summer 2011,Provide guidance on small scale path erosion repairs along the Lakeshore Path that the Students for the Preserve implemented.,,FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,Students for the Preserve,,,10,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FS,
,Engineering & Soils,Fall          2011 & 2012,Provide ideas and maps for potential student projects around campus related to stormwater.  Learning outcomes are per the class but generally relate to stormwater management and soil science.  Providing the classes with real world problems to solve benefits the students learning.,Prof. Ken Potter-CEE; Prof. Steve Ventura-SOILS,FP&M Campus Planning and Landscape Architecture,Civil and Environmental Engineering,Soil Science,,,,,,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,WIASLA Spring Conference Tour- East and Central Campus,Spring 2012,"CPLA led tour highlighted recently completed projects on campus.  Conversation covered overall design intent\, ADA issues\, sustainability\, maintenance\, health\, safety\, welfare topics. ",,FP&M Campus Planning and Landscape Architecture,,,,WIASLA - Amer. Society for Landscape Architecture,,,25,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FS,
,Tour of Picnic Point and site improvement project,Summer 2012,CPLA provided a tour of the Picnic Point area from the gate to the tip which focused on the site improvements and  vegetative changes.,Friends of the Lakeshore Nature Preserve,FP&M Campus Planning and Landscape Architecture,,,,,,,5,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,F,
,Franz Aust Garden Fall Clean Up ,"Fall Semester\, 2012-Present ","The east side of Agricultural Hall has a small courtyard and a rock garden that are the responsibility of the Landscape Architecture Department to maintain.  Campus Planning & Landscape Architecture\, with the assistance of the Lakeshore Nature Preserve\, has organized a fall clean up to get the landscape architecture students involved with maintaining these spaces for the past three years.  Students learn about maintaining a native prairie. Future goal is to create a new landscape plan and install new plants in the gardens using student volunteers.",Prof. John Harrington-LA           ,FP&M Campus Planning and Landscape Architecture,Landscape Architecture,Lakeshore Nature Preserve,,,,,10,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Witte Hall Project ,Fall 2012,The class explored different concepts on how to enliven the landscape around Witte Hall and provide amenities to meet the needs of students living in the residence halls. ,"Prof. James Steiner  
",FP&M Campus Planning and Landscape Architecture,Landscape Architecture,,,,,,20,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Graduate Student study of Eagle Heights Woods,Fall 2012,Provided an intern to assist in surveying work for the grad student's study.  Transect set across the woods for a reference when conducting vegetation surveys.,Prof. Evelyn Howell,FP&M Campus Planning and Landscape Architecture,Landscape Architecture,,,,,,2,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Stanley Dodson Audio Fieldtrip,2013,Worked with the Friends to facilitate the creation and installation for the signs for this project.,,FP&M Campus Planning and Landscape Architecture,Friends of the Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,F,
,Campus Green Roof Tour ,Fall 2013,Tour of campus green roofs showing the many different types of green roof systems and different types of vegetation that can be grown on them.  Discussed features that were working well and what features could be designed to be more effective.,Prof. John Harrington-LA,FP&M Campus Planning and Landscape Architecture,,,,,,,20,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,WIASLA Spring Conference Tour- South and Central Campus,Spring 2014,"Tour highlighted recently completed projects on campus. Conversation covered overall design intent\, ADA issues\, sustainability\, maintenance\, health\, safety\, welfare topics. ",,FP&M Campus Planning and Landscape Architecture,,,,,,,25,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FS,
,Graduate Student study of Stormwater,Spring 2014,Provided background files and information regrading campus pavements & stormwater information.,,FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",,,,,,1,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Mixed Use Design Project ,Summer 2014 ,"Students created a hypothetical design for the half block north of Clymer Place between North Brooks Street and North Park Street. Goal was to create a design with a diverse set of project requirements (including building placement\, parking\, landscape\, site amenities) in an urban setting. ",Prof. James Steiner-LA,FP&M Campus Planning and Landscape Architecture,,,,,,,20,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Urban Edible Gardens,Summer 2014 ,Bring edible gardens closer to the east side of campus. Provide oppertunity for students to learn  and partake in growing their own food.  CPLA provided guidance in locating  three garden site in the central and east campus areas. Worked with group to create maintance plan.,Aaron Conradt-Rethink; Frank Kooistra-OS,FP&M Campus Planning and Landscape Architecture,Office of Sustainability,,,ReThink Wisconsin,Edible Landscaping,Horticulture Club,3,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FS,
,Ho Nee Um Pond Boardwalk repair design,Summer 2014,Design boardwalk repairs for students that need volunteer hours and want to work at the Arboretum.,Brad Herrick,FP&M Campus Planning and Landscape Architecture,UW Arboretum,,,,,,4,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FS,
,Russell Labs Green Space,Fall 2014,Professor James Steiner is working with plant pathology professor to have landscape architecture students design a hypothetical outdoor garden near Russell Labs that can be used to teach plant pathology without introducing any into the landscape.  CPLA staff will sit on project jury review.,Prof. James Steiner-LA,FP&M Campus Planning and Landscape Architecture,Plant Pathology,,,,,,20,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
," Landscape Architecture Planting Design- Agricultural Hall\, North and West Landscape ",Fall 2014 ,Students will explore design concepts for the landscape  north and west of Agricultural Hall.  CPLA staff will serve as Jury Member and will talk to class about project site.,Prof. John Harrington-LA,FP&M Campus Planning and Landscape Architecture,Landscape Architecture,,,,,,20,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Graduate student study of the Class of 1918 Marsh,Fall 2014,CPLA staff provided background information about the Class of 1918 Marsh hydrology from our files.,Prof. Evelyn Howell-LA,FP&M Campus Planning and Landscape Architecture,Landscape Architecture,,,,,,1,,CPLA Academic Coordination Report 2014_JLB_rhj.xlsx,Spreadsheet,FA,
,Scintillation Glass Vial Reuse,,Reduce costs on the purchase of new vials.,Victor Goretsky,FP&M Environment Health and Safety,,,,,,,,,,,F,
,Reuse of Biodegradable Scintillation Vial Liquids,,Reduce costs on the purchase of replacement liquids.,Victor Goretsky,FP&M Environment Health and Safety,,,,,,,,,,,F,
,Implementation of ARROW Software,,Reduction in paper usage and reduction in time to fill out document by hand.,Jim Turk,FP&M Environment Health and Safety,,,,,,,,,,,F,
,Chemical Recycling Program,,Reduce costs of hazardous waste disposal and remove chemicals from hazardous waste stream.,Troy Vannieuwenhoven,FP&M Environment Health and Safety,,,,,,,,,,,F,
,Old Biological Safety Cabinet Replacement,,"Aging inventory of BSCs is creating an increasing burden on maintenance efforts and difficulty in obtaining replacement parts.  Replacing the older cabinets (~200) with new\, more energy efficient models will produce corresponding energy savings for the university.",Darren Berger,FP&M Environment Health and Safety,,,,,,,,,,,F,
,Archived Environmental and Occuptional Health Unit Files,,An extensive summary of documentation of the Department of Environmental Health and Safety's investigations of Environmental and Occupational Health concerns throughout campus.,Paul Umbeck,FP&M Environment Health and Safety,,,,,,,,,EOH File Archive 032014.xlsx,Program Review,F,
,Nonpoint Source Pollution Assesment of University Student/Faculty Apartments at Eagle Heights,,Inspection of Eagle Heights trash cans for potential Nonpoint source pollution contributions. Corroded trash cans were found to be leaking trash and acting as a potential pollutant source to Lake Mendota.,Jeffrey Steele,FP&M Environment Health and Safety,,,,,,,,,NonpointSourceEH.pdf,Working Document,F,
,Nonpoint Source Pollution Assessment of Campus West of Willow Creek,,"Inspection of nonpoint pollution sources around west campus area. Nonpoint sources included sediment from erosion\, dumpsters lacking drainplugs\, and trash spilling from corroding dumpsters.",Jeffrey Steele,FP&M Environment Health and Safety,,,,,,,,,NonpointsourceWestwillow.pdf,Working Document,F,
,Nonpoint Source Pollution Assessment of Campus East of Willow Creek and West of Babcock Drive,,Inspection of nonpoint pollution sources around east campus area. Industrial pollutants from horse barn and animal housing has potential to contribute NPS pollution.,Jeffrey Steele,FP&M Environment Health and Safety,,,,,,,,,NonpointsourceEastwillow.pdf,Working Document,F,
,Stormwater Assessment of Lakeshore Path,,"Inspection of Willow Creek pollution sources and Lakeshore Path storm culverts. Parking lot adjacent Willow Creek may be contributing stormflow\, sediment\, and causing bank erosion on willow creek.","Don Watson\, Jeffery Steele\, Marisa Trapp",FP&M Environment Health and Safety,,,,,,,,,StormwaterAssessmentLakeshore.pdf,Working Document,F,
,Green Cleaning by Janitorial Services,Ongoing,"Janitorial Services is leading trials in 7 new buildings to replace many of their conventional cleaning products with green seal certified products. Includes precise mixing procedures.  School of Nursing\, ozonated water is being tested as a antimicrobial replacement for bleach. In 2015 Janitorial Services wil expand green cleaning initative to over half of all campus buildings.  Subsequent buildings will be included as old product is used up. ",Steve Heitz-Janitorial,FP&M Physical Plant ,,,,,,,,,http://sustainability.wisc.edu/news-and-events/university-operations-utilize-green-cleaning-supplies/,website,F,
,Salt Reduction Initiatives,,"Salt use optimization initiatives including training and certification for grounds crews in best mgmt. practices.  Focus on correct timing\, quantity\, and type of ice melt products.  Circulation of training video  to sister departments in FPM that apply salt on campus.",Ellen Agnew - Bldg/Grounds Supt.,FP&M Physical Plant ,,,,,,,,,,Personal Communication,F,
,Sustainable Lawn Care,,"A trial of sustainable and organic lawn care techniques on Bascom Hill turf involving aerating\, overseeding\, compost application\, and minimal weed spraying.",Ellen Agnew - Bldg/Grounds Supt.,FP&M Physical Plant ,,,,,,,,,,Personal Communication,F,
,Leaf Composting,,"Program to collect and compost 100% of the campus' leaf material.  Leaf material is collected in the fall\, transported to grounds' material depot\, mixed with manure from Ag. Research Station\, composted\, and then reapplied to campus grounds.",Ellen Agnew - Bldg/Grounds Supt.,FP&M Physical Plant ,,,,,,,,,,Personal Communication,F,
,Planters for We Conserve's edible Landscape project,,Grounds staff constructed and filled 6 large raised bed structures for We Conserve student group to create edible gardens on campus,Ellen Agnew - Bldg/Grounds Supt.,FP&M Physical Plant ,,,,We Conserve,,,,,,Personal Communication,FS,
,Green Roof Maintanence Guide,,Grounds department created a maintenance guide for the 14 green roofs on campus that includes use of mulch instead of chemical weed treatments,Ellen Agnew - Bldg/Grounds Supt.,FP&M Physical Plant ,,,,,,,,,,Personal Communication,F,
,Cleaning Up our Trash,4/1/09,"Waste Bin audits wherein trash contents were identified\, sorted\, and recorded. Campus waste bins had 25%-47% recyclable materials in the sorted trash bags. Recommendations were made to improve recycling rates","James Harrod - FP&M\, Michael Amato - Dept. of Psychology",FP&M Physical Plant ,,,,We Conserve,,,,,Cleaning Up Our Trash (Cleaning_Up_Our_Trash_Harrod_Amato_2009.pdf),Program Review,FS,
,Waste and Recycling Programs,1/1/14,"Physical Plant is responsible for all handling and tracking all waste and recycling from campus facilities.  The department collects numerous streams of material.  Recyclables include appliances\, books\, comingled\, food compost\, yard compost\, office paper\, newspaper/cardboard\, pallets\, scrap metal\, tires\, and wood.   Detailed records of tonnages for each stream have been collected since 1998 and track a steady increase in recycling rates.  From 1998 to 2014 the % recycled has climbed from approximately 30% to 40%.  The recent successful implementation of food and yard waste composting has significantly contributed to this improvement","Kris Aukerbauer (Physical Plant)\, Lyle Jelle",FP&M Physical Plant ,We Conserve,,,,,,,,W & R Metrics Sept 2014 .xlsx,spreadsheet,FS,
,Who turned out the incandescent lights?,10/14/14,"Curriculum development with ES126 using campus lighting upgrades as the experiential learning focus. Successful learning outcomes were facilitated by collaboration between Dr. Middlecamp and Physical Plant using campus as a ""living-learning laboratory.""","Tim Lindstrom\, Faramarz Vakili\, Cathy Middlecamp",FP&M Physical Plant ,"Environmental Studies\, Nelson Institute for",,,,,,,,Campus Lighting & ES 126 (Draft),Journal Article,FA,
,Pre-Consumer Food Waste Diversion at Monona Terrace,5/1/11,"Collaboration between We Conserve and Monona Terrace to reduce food scraps in waste stream\, quantification of CO2 reductions. 9 month program diverted 11 tons of food scraps\, saved $1\,473 in tipping fees\, and avoided 9.7 tons of CO2 emissions.","Lea Zeise\, Joseph Van Rossum",FP&M Physical Plant ,,,,We Conserve,,,,,11 MSN Zeise Monona Terrace Compost.pdf,Program Review,FA,
,Energy Conservation Program Overview,1/1/14,The State of Wisonsin supported the UW Madison with a $60 million investment to finance energy efficiency upgrades from 2006-2014.  17% was spent on lighting upgrades and 83% was spent on HVAC upgrades.  This helped the campus reach its goal of a 20% energy use reduction compared to 2006 levels despite a 15% increase in gross square footage of campus buildings. The energy use reductions save the UW $8 million each year.,Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,general scope ESCO.xlsx,Program Review,F,
,Fume Hood Replacements,,"1. Replace existing  fume hoods with new high performance\, low-flow fume hoods Decommission and remove fume hoods not in use and associated air test and balancing:  Add occupancy sensors to each space required for inactive mode and add fume hood presence control sensors to Fume Hoods. Furnish and install new dual mode monitors/alarms on the existing fume hoods.",Randy Hagar,FP&M Physical Plant ,We Conserve,,,,,,,,general scope ESCO.xlsx,Program Review,F,
,HVAC improvement,,"2.  Reduce supply air and outside airflow quantities based on reduction in exhaust air flows\, on Vav systems.",Randy Hagar,FP&M Physical Plant ,We Conserve,,,,,,,,general scope ESCO.xlsx,Program Review,F,
,HVAC improvement,,"3. Reduce SA\,EA\,and OA during select occupancies times. Replace pneumatic mechanical systems controls with new direct digital controls ",Randy Hagar,FP&M Physical Plant ,We Conserve,,,,,,,,general scope ESCO.xlsx,Program Review,F,
,HVAC improvement,,"4. New Air economizer dampers\, adds lower leakage rates from outside air and reduces amount of heating/cooling ",Randy Hagar,FP&M Physical Plant ,We Conserve,,,,,,,,general scope ESCO.xlsx,Program Review,F,
,HVAC improvement,,5. Implements in select air handling systems a retrofit of existing constant volume systems to a variable air volume (VAV) system. The VAV retrofit enables reducing supply and exhaust airflows for non-lab spaces . Provide air handlers with new variable frequency drives installed to manage the supply airflow.,Randy Hagar,FP&M Physical Plant ,We Conserve,,,,,,,,general scope ESCO.xlsx,Program Review,F,
